,s0_train,s1_train,s2_train
477,110.0,115.59999999999998,132.4
478,114.0,116.99999999999999,122.4
479,122.0,120.79999999999998,116.6
480,127.0,125.19999999999999,115.6
481,131.0,128.2,117.0
482,132.0,129.2,120.8
483,129.0,129.39999999999998,125.2
484,127.0,129.39999999999998,128.2
485,128.0,130.59999999999997,129.2
486,131.0,133.79999999999998,129.4
487,138.0,138.2,129.4
488,145.0,142.59999999999997,130.6
489,149.0,146.39999999999998,133.8
490,150.0,148.39999999999998,138.2
491,150.0,148.19999999999996,142.6
492,148.0,146.2,146.4
493,144.0,142.59999999999997,148.4
494,139.0,137.59999999999997,148.2
495,132.0,131.59999999999997,146.2
496,125.0,125.79999999999997,142.6
497,118.0,120.39999999999998,137.6
498,115.0,115.79999999999998,131.6
499,112.0,111.99999999999997,125.8
500,109.0,108.79999999999998,120.4
501,106.0,105.39999999999998,115.8
502,102.0,101.79999999999998,112.0
503,98.0,97.99999999999997,108.8
504,94.0,94.59999999999998,105.4
505,90.0,91.79999999999998,101.8
506,89.0,89.79999999999998,98.0
507,88.0,88.59999999999998,94.6
508,88.0,87.99999999999997,91.8
509,88.0,87.19999999999999,89.8
510,87.0,86.39999999999998,88.6
511,85.0,85.19999999999999,88.0
512,84.0,83.99999999999997,87.2
513,82.0,83.39999999999998,86.4
514,82.0,83.39999999999998,85.2
515,84.0,83.59999999999998,84.0
516,85.0,84.79999999999998,83.4
517,85.0,86.79999999999998,83.4
518,88.0,89.79999999999998,83.6
519,92.0,94.39999999999998,84.8
520,99.0,101.19999999999999,86.8
521,108.0,109.39999999999998,89.8
522,119.0,119.19999999999997,94.4
523,129.0,130.2,101.2
524,141.0,141.99999999999997,109.4
525,154.0,153.99999999999997,119.2
526,167.0,166.59999999999997,130.2
527,179.0,179.59999999999997,142.0
528,192.0,192.59999999999997,154.0
529,206.0,204.99999999999997,166.6
530,219.0,216.59999999999997,179.6
531,229.0,226.59999999999997,192.6
532,237.0,233.59999999999997,205.0
533,242.0,236.19999999999993,216.6
534,241.0,235.39999999999995,226.6
535,232.0,232.59999999999997,233.6
536,225.0,228.19999999999993,236.2
537,223.0,222.79999999999995,235.4
538,220.0,217.99999999999994,232.6
539,214.0,212.99999999999994,228.2
540,208.0,206.79999999999995,222.8
541,200.0,199.59999999999997,218.0
542,192.0,191.79999999999995,213.0
543,184.0,183.79999999999995,206.8
544,175.0,175.99999999999994,199.6
545,168.0,168.59999999999997,191.8
546,161.0,161.99999999999994,183.8
547,155.0,157.39999999999998,176.0
548,151.0,154.39999999999995,168.6
549,152.0,152.99999999999997,162.0
550,153.0,153.2,157.4
551,154.0,154.39999999999998,154.4
552,156.0,155.79999999999995,153.0
553,157.0,157.2,153.2
554,159.0,158.19999999999996,154.4
555,160.0,157.99999999999997,155.8
556,159.0,155.79999999999995,157.2
557,155.0,150.59999999999997,158.2
558,146.0,143.39999999999998,158.0
559,133.0,135.39999999999998,155.8
560,124.0,127.59999999999998,150.6
561,119.0,122.19999999999997,143.4
562,116.0,120.19999999999999,135.4
563,119.0,120.79999999999998,127.6
564,123.0,123.39999999999998,122.2
565,127.0,127.39999999999996,120.2
566,132.0,131.79999999999998,120.8
567,136.0,135.99999999999997,123.4
568,141.0,139.79999999999995,127.4
569,144.0,142.79999999999995,131.8
570,146.0,145.39999999999998,136.0
571,147.0,147.2,139.8
572,149.0,148.59999999999997,142.8
573,150.0,149.99999999999997,145.4
574,151.0,151.39999999999998,147.2
575,153.0,152.59999999999997,148.6
576,154.0,154.19999999999996,150.0
577,155.0,155.99999999999997,151.4
578,158.0,158.39999999999998,152.6
579,160.0,161.79999999999995,154.2
580,165.0,165.99999999999997,156.0
581,171.0,169.79999999999998,158.4
582,176.0,172.79999999999995,161.8
583,177.0,174.19999999999996,166.0
584,175.0,173.79999999999995,169.8
585,172.0,172.39999999999998,172.8
586,169.0,170.79999999999995,174.2
587,169.0,169.39999999999998,173.8
588,169.0,168.59999999999997,172.4
589,168.0,168.79999999999995,170.8
590,168.0,170.79999999999995,169.4
591,170.0,174.79999999999995,168.6
592,179.0,180.59999999999997,168.8
593,189.0,187.79999999999995,170.8
594,197.0,196.59999999999997,174.8
595,204.0,207.59999999999997,180.6
596,214.0,217.99999999999994,187.8
597,234.0,228.99999999999994,196.6
598,241.0,239.39999999999998,207.6
599,252.0,246.99999999999994,218.0
600,256.0,248.79999999999995,229.0
601,252.0,246.99999999999997,239.4
602,243.0,240.19999999999996,247.0
603,232.0,230.59999999999997,248.8
604,218.0,219.79999999999995,247.0
605,208.0,208.19999999999996,240.2
606,198.0,195.79999999999995,230.6
607,185.0,182.79999999999995,219.8
608,170.0,169.19999999999996,208.2
609,153.0,154.79999999999995,195.8
610,140.0,140.39999999999998,182.8
611,126.0,126.39999999999998,169.2
612,113.0,113.59999999999998,154.8
613,100.0,101.59999999999998,140.4
614,89.0,90.79999999999998,126.4
615,80.0,81.6,113.6
616,72.0,75.19999999999999,101.6
617,67.0,71.6,90.8
618,68.0,70.6,81.6
619,71.0,72.19999999999999,75.2
620,75.0,76.39999999999998,71.6
621,80.0,83.19999999999999,70.6
622,88.0,91.19999999999997,72.2
623,102.0,99.39999999999998,76.4
624,111.0,107.59999999999997,83.2
625,116.0,115.39999999999998,91.2
626,121.0,121.39999999999998,99.4
627,127.0,126.99999999999997,107.6
628,132.0,133.2,115.4
629,139.0,139.79999999999998,121.4
630,147.0,146.79999999999998,127.0
631,154.0,154.39999999999998,133.2
632,162.0,161.79999999999995,139.8
633,170.0,168.59999999999997,146.8
634,176.0,174.59999999999997,154.4
635,181.0,178.99999999999994,161.8
636,184.0,182.19999999999996,168.6
637,184.0,185.39999999999998,174.6
638,186.0,189.39999999999998,179.0
639,192.0,193.99999999999997,182.2
640,201.0,199.99999999999997,185.4
641,207.0,206.79999999999995,189.4
642,214.0,213.79999999999995,194.0
643,220.0,220.19999999999993,200.0
644,227.0,226.19999999999993,206.8
645,233.0,231.39999999999995,213.8
646,237.0,236.59999999999997,220.2
647,240.0,241.19999999999993,226.2
648,246.0,245.39999999999995,231.4
649,250.0,249.39999999999995,236.6
650,254.0,253.59999999999997,241.2
651,257.0,257.79999999999995,245.4
652,261.0,262.59999999999997,249.4
653,267.0,270.99999999999994,253.6
654,274.0,280.79999999999995,257.8
655,296.0,291.5999999999999,262.6
656,306.0,302.59999999999997,271.0
657,315.0,312.99999999999994,280.8
658,322.0,317.19999999999993,291.6
659,326.0,317.19999999999993,302.6
660,317.0,309.99999999999994,313.0
661,306.0,297.59999999999997,317.2
662,279.0,280.4,317.2
663,260.0,261.19999999999993,310.0
664,240.0,240.79999999999995,297.6
665,221.0,222.59999999999997,280.4
666,204.0,205.39999999999998,261.2
667,188.0,189.79999999999995,240.8
668,174.0,175.19999999999996,222.6
669,162.0,161.59999999999997,205.4
670,148.0,149.19999999999996,189.8
671,136.0,137.79999999999998,175.2
672,126.0,126.99999999999997,161.6
673,117.0,118.19999999999996,149.2
674,108.0,110.99999999999997,137.8
675,104.0,105.19999999999999,127.0
676,100.0,100.19999999999999,118.2
677,97.0,95.79999999999998,111.0
678,92.0,90.99999999999999,105.2
679,86.0,85.99999999999999,100.2
680,80.0,81.19999999999999,95.8
681,75.0,77.19999999999999,91.0
682,73.0,73.99999999999999,86.0
683,72.0,71.6,81.2
684,70.0,69.6,77.2
685,68.0,67.79999999999998,74.0
686,65.0,66.39999999999999,71.6
687,64.0,65.6,69.6
688,65.0,64.99999999999999,67.8
689,66.0,64.79999999999998,66.4
690,65.0,64.79999999999998,65.6
691,64.0,64.99999999999999,65.0
692,64.0,65.79999999999998,64.8
693,66.0,67.79999999999998,64.8
694,70.0,71.19999999999999,65.0
695,75.0,75.39999999999998,65.8
696,81.0,80.19999999999999,67.8
697,85.0,84.99999999999999,71.2
698,90.0,89.39999999999998,75.4
699,94.0,92.79999999999998,80.2
700,97.0,95.99999999999997,85.0
701,98.0,98.99999999999999,89.4
702,101.0,102.19999999999999,92.8
703,105.0,105.79999999999998,96.0
704,110.0,109.79999999999998,99.0
705,115.0,113.99999999999997,102.2
706,118.0,118.39999999999998,105.8
707,122.0,122.19999999999997,109.8
708,127.0,125.79999999999998,114.0
709,129.0,129.79999999999995,118.4
710,133.0,133.39999999999998,122.2
711,138.0,136.39999999999998,125.8
712,140.0,139.2,129.8
713,142.0,141.2,133.4
714,143.0,142.79999999999995,136.4
715,143.0,144.79999999999998,139.2
716,146.0,147.19999999999996,141.2
717,150.0,149.99999999999997,142.8
718,154.0,153.19999999999996,144.8
719,157.0,156.39999999999998,147.2
720,159.0,158.99999999999997,150.0
721,162.0,161.0,153.2
722,163.0,162.79999999999995,156.4
723,164.0,164.99999999999997,159.0
724,166.0,167.39999999999998,161.0
725,170.0,169.2,162.8
726,174.0,170.2,165.0
727,172.0,170.59999999999997,167.4
728,169.0,170.39999999999998,169.2
729,168.0,169.99999999999994,170.2
730,169.0,171.2,170.6
731,172.0,174.0,170.4
732,178.0,178.19999999999996,170.0
733,183.0,183.79999999999995,171.2
734,189.0,190.59999999999997,174.0
735,197.0,195.79999999999995,178.2
